Title,Author,Description,Genres,Rating,Rating-count
It,Stephen King,"From the Flap:It began for the Losers on a day in June of 1958, the day school let out for the summer. That was the day Henry Bowers carved the first letter of his name on Ben Hanscom's belly and chased him into the Barrens, the day Henry and his Neanderthal friends beat up on Stuttering Bill Denbrough and Eddie Kaspbrak, the day Stuttering Bill had to save Eddie from his worst asthma attack ever by riding his bike to beat the devil. It ended in August, with seven desperate children in search of a creature of unspeakable evil in the drains beneath Derry. In search of It. And somehow it ended.Or so they thought. Then.On a spring night in 1985 Mike Hanlon, once one of those children, makes six calls. Stan Uris, accountant. Richie ""Records"" Tozier, L.A. disc jockey. Ben Hanscom, renowned architect. Beverly Rogan, dress designer. Eddie Kaspbrak, owner of a successful New York limousine company. And Bill Denbrough, bestselling writer of horror novels. Bill Denbrough who now only stutters in his dreams.These six men and one woman have forgotten their childhoods, have forgotten the time when they were Losers . . . but an unremembered promise draws them back, the present begins to rhyme dreadfully with the past, and when the Losers reunite, the wheels of fate lock together and roll them toward the ultimate terror.In the biggest and most ambitious book of his career, Stephen King gives us not only his most towering epic of horror but a surprising reillumination of the corridor where we pass from the bright mysteries of childhood to those of maturity.Read more","['coming of age', 'thrillers', 'suspense', 'horror', 'Schwinn bicycles', 'catatonia', 'homosexuality', 'blood oaths', 'Omniscience', 'mummies', 'lepers', 'ghosts', 'we', 'clownrewolves', 'nonlinear narrative', 'third-person', 'Open Library Staff Picks', 'Fiction', 'Good and evil', 'horror stories', 'horror tales', 'Horror fiction', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'nyt:trade-fiction-paperback=2017-09-03', 'New York Times bestseller', 'New York Times reviewed', 'Fiction, horror', 'American literature']",4.14,392
How to win friends and influence people,Dale Carnegie,Humans are relational beings. This is the best self-improvement book to know how to create meaningful and fruitful relationships.Read more,"['Relationships', 'Influence', 'Persuasion (Psychology)', 'Leadership', 'Business communication', 'Success', 'Psychology', 'Conduct of life', 'Self-help techniques', 'Self-actualization (psychology)', 'Interpersonal relations', 'Applied Psychology', 'Psychology, applied', 'Worry', 'Happiness', 'Achievement', 'Persuasive Communication', 'BUSINESS & ECONOMICS', 'SELF-HELP', 'Communication & Social Skills', 'Onderhandelen', 'Mänskliga relationer', 'Ledarskap', 'Conducta (Ética)', 'Éxito', 'Preocupación', 'Exito', 'Qing xu', 'Tong su du wu', 'Zi wo kong zhi', 'Lebensführung', 'Ge ren', 'Ren jian guan xi', 'Xiu yang', 'Cheng gong xin li', 'Komunikacja interpersonalna', 'Poradniki', 'Psychological aspects', 'Interpersonal communication', 'Influence (psychology)', 'Ren ji guan xi', 'Succès', 'Framgång', 'Självförverkligande', 'Sociology']",4.28,187
The Love Hypothesis,Ali Hazelwood,"Read This Book ➸ https://strangerthings.fandom.com/wiki/Amazon_Books_FreeDottoranda in Biologia, Olive Smith crede nella scienza, non nell'amore. Non le è mai importato granché di avere una relazione e di sicuro non le importa di Jeremy, un ragazzo con cui è uscita un paio di volte in tutto. Si dà il caso, però, che lui piaccia da morire alla sua amica Anh, ed è proprio per convincere quest'ultima che Jeremy appartiene al passato che Olive una sera bacia il primo ragazzo incontrato in laboratorio, fingendo che sia il suo fidanzato. Costui, però, si rivela essere Adam Carlsen, giovanissimo professore sexy, noto per comportarsi sempre da tiranno con tutti. Per questo Olive rimane a bocca aperta quando lui accetta di reggerle il gioco con l'amica, rivelandosi una persona affascinante e gentile. All'improvviso, un appuntamento finto dopo l'altro, il mondo di Olive viene stravolto, tanto che è costretta a mettere il suo cuore sotto un microscopio e ad analizzare i suoi sentimenti per Adam. Riuscirà a comprendere che il teorema dell'amore non segue alcuna dimostrazione?Read more","['American literature', 'New York Times bestseller', 'Romantic fiction', 'rom-com', 'romance', 'College Life', 'Women authors', 'women in STEM']",4.16,149
A Court of Mist and Fury,Sarah J. Maas,"Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.As her marriage to Tamlin approaches, Feyre's hollowness and nightmares consume her. She finds herself split into two different people: one who upholds her bargain with Rhysand, High Lord of the feared Night Court, and one who lives out her life in the Spring Court with Tamlin. While Feyre navigates a dark web of politics, passion, and dazzling power, a greater evil looms. She might just be the key to stopping it, but only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future-and the future of a world in turmoil.Bestselling author Sarah J. Maas's masterful storytelling brings this second book in her dazzling, sexy, action-packed series to new heights.Read more","['Fantasy', 'Fiction', 'Fairies', 'Blessing and cursing', 'Fantasy fiction', 'Fairies, fiction', 'nyt:young-adult-hardcover=2016-05-22', 'New York Times bestseller', 'nyt:young-adult-e-book=2016-05-22', 'collectionID:TexChallenge2021', 'collectionID:KellerChallenge', 'collectionID:EanesChallenge', 'collectionID:AlpineChallenge', 'Adaptations', 'Magic', 'Courts and courtiers', 'Fées', 'Romans, nouvelles, etc. pour la jeunesse', 'Cours et courtisans', 'Fantasy & Magic', 'Love & Romance', 'Action & Adventure', 'General', 'series:A_Court_of_Thorns_and_Roses']",3.94,200
Shatter me,Tahereh Mafi,"Ostracized or incarcerated her whole life, seventeen-year-old Juliette is freed on the condition that she use her horrific abilities in support of The Reestablishment, a post-apocalyptic dictatorship, but Adam, the only person ever to show her affection, offers hope of a better future.Read more","['Love', 'Ability', 'Dictatorship', 'Fiction', 'Science fiction', 'Soldiers', 'Juvenile fiction', 'Love stories', ""Children's fiction"", 'Love, fiction', 'Soldiers, fiction', 'Totalitarianism, fiction', 'Romance fiction', 'Dictators', 'Aptitude', 'Romans, nouvelles, etc. pour la jeunesse', 'Dictature']",4.06,109
Ugly Love,Colleen Hoover,"ATTRACTION AT FIRST SIGHT CAN BE MESSY… When Tate Collins finds airline pilot Miles Archer passed out in front of her apartment door, it is definitely not love at first sight. They wouldn’t even go so far as to consider themselves friends. But what they do have is an undeniable mutual attraction. He doesn’t want love and she doesn’t have time for a relationship, but their chemistry cannot be ignored. Once their desires are out in the open, they realize they have the perfect set-up, as long as Tate can stick to two rules: Never ask about the past and don’t expect a future. Tate is determined that she can handle it, but when she realises that she can’t, will she be able to say no to her sexy pilot when he lives just next door?Read more","['Fiction, romance, contemporary', 'New York Times bestseller', 'Air pilots', 'Fiction', 'Man-woman relationships', 'Love', ""Pilotes d'aéronef"", 'Romans, nouvelles', 'Relations entre hommes et femmes']",4.15,126
Le trône de fer,George R. R. Martin,"Le royaume des sept couronnes est sur le point de connaître son plus terrible hiver : par-delà le mur qui garde sa frontière nord, une armée de ténèbres se lève, menaçant de tout détruire sur son passage. Mais il en faut plus pour refroidir les ardeurs des rois, des reines, des chevaliers et des renégats qui se disputent le trône de fer. Tous les coups sont permis, et seuls les plus forts, ou les plus retors, s'en sortiront indemnes...--back coverRead more","['Action & Adventure', 'American Fantasy fiction', 'Betrayal', 'Bien y mal', 'Civil war', 'Courts and courtiers', 'Dragons', 'Epic', 'epic fantasy', 'epic fiction', 'epic literature', 'fantastic fiction', 'fantasy', 'fantasy fiction', 'Ficción', 'fiction', 'Fiction, fantasy, epic', 'Fiction, fantasy, general', 'good and evil', 'Guerras imaginarias', 'Hugo Award Winner', 'Ignotus Award winner', 'imaginary places', 'imaginary wars and battles', 'Invierno', 'kings and rulers', 'Locus Award winner', 'magic', 'New York Times bestseller', 'nyt:trade_fiction_paperback=2011-09-10', 'Science Fiction', 'seasons', 'Voyages and travels', 'winter', 'Trial by combat', 'walls', 'penal colonies', 'wights', 'folk healers', 'persistent vegetative states', 'Seven kingdoms (imaginary place), fiction', 'Seven kingdoms (Imaginary place)', 'Coloring books']",4.25,376
Twisted Love,Ana Huang,"He has a heart of ice … but for her, he'd burn the world. Alex Volkov is a devil blessed with the face of an angel and cursed with a past he can't escape. Driven by a tragedy that has haunted him for most of his life, his ruthless pursuits for success and vengeance leave little room for matters of the heart. But when he's forced to look after his best friend's sister, he starts to feel something in his chest: A crack. A melt. A fire that could end his world as he knew it. * Ava Chen is a free spirit trapped by nightmares of a childhood she can't remember. But despite her broken past, she's never stopped seeing the beauty in the world … including the heart beneath the icy exterior of a man she shouldn't want. Her brother's best friend. Her neighbor. Her savior and her downfall. Theirs is a love that was never supposed to happen - but when it does, it unleashes secrets that could destroy them both … and everything they hold dear. Twisted Love is a brother's best friend/opposites attract romance with a hint of suspense. It's book one in the Twisted series, but can be read as a standalone. WARNING: This book contains a possessive alpha/antihero, explicit sexual content, and profanity. No cheating or ménage, but if you're looking for a traditionally sweet, loveable hero, this is not the book for you. Recommended for 18+.Read more","['Fiction, romance, multicultural & interracial', 'Fiction, romance, new adult', 'Fiction, romance, contemporary', 'nyt:combined-print-and-e-book-fiction=2023-07-02', 'New York Times bestseller']",4.22,78
Harry Potter a Tajemná komnata,J. K. Rowling,"Harry Potter #2Throughout the summer holidays after his first year at Hogwarts School of Witchcraft and Wizardry, Harry Potter has been receiving sinister warnings from a house-elf called Dobby.Now, back at school to start his second year, Harry hears unintelligible whispers echoing through the corridors.Before long the attacks begin: students are found as if turned to stone.Dobby’s predictions seem to be coming true.SourceRead more","['Fantasy fiction', 'school stories', 'Fiction', 'Fantasy', 'Nestlé Smarties Book Prize winner', 'Juvenile fiction', 'Wizards', 'Magic', 'Schools', 'Spanish language materials', 'Magia', 'Escuelas', 'Ficción juvenil', 'Novela fantástica', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Wizards -- Juvenile fiction', 'Witches', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Magos', 'Translations from English', 'Chinese fiction', 'Orphans', 'Aunts', 'Uncles', 'Cousins', 'Determination (Personality trait) in children', 'Friendship', 'Potter, Harry (Fictitious character)', 'Witches Fiction', 'Wizards Fiction', 'Schools Fiction', 'England Fiction', 'Magic -- Juvenile fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place) -- Juvenile fiction', 'Schools -- Juvenile fiction', 'Wizards -- Fiction', 'Magic -- Fiction', 'Schools -- Fiction', 'England -- Juvenile fiction', 'England -- Fiction', 'Fantasy & Magic', 'Action & Adventure', 'Witchcraft', 'Harry Potter (Fictional character)', 'Engels', 'Social Themes', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Schools, fiction', 'England, fiction', 'Potter, harry (fictitious character), fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Wizards, fiction', 'Magic, fiction', ""Children's fiction"", 'Adventure and adventurers, fiction', 'English literature', 'Fiction, fantasy, general', 'Large type books', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Latin language materials', ""Children's stories"", 'Magiciens', 'Romans, nouvelles, etc. pour la jeunesse', 'Nécromancie', 'Écoles', 'Potter, Harry (Personnage fictif)', 'Romans, nouvelles', 'Magie', 'Family', 'Orphans & Foster Homes', 'Magía', 'Novela juvenil', 'Juvenile', ""Children's stories, English"", 'Sieg', 'Basilisk', 'Das Böse', 'Das Gute', 'Internat', 'Lebensgefahr', 'Lebensrettung', 'List', 'Magier', 'Jugendbuch', 'Kampf', 'Schule', 'Basilisk (Fabeltier)', 'Junge', 'Phönix', 'Deutschland Grenzschutzkommando Mitte Schule', 'Deutschland', 'Friendship, fiction', 'Hogwartes School of Witchcraft and Wizardry (Imaginary place)', 'General', 'Social Issues', 'Witches, fiction', 'English Fantasy literature', 'Translations into Marathi']",4.17,339
Hali Bote yu si wang sheng qi,J. K. Rowling,"Harry Potter #7Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.He will have to face his enemy in one final battle.(source)   See also:Harry Potter and the Deathly Hallows: 2/2Read more","['the Elder Wand', ""children's books"", 'dementors', 'good and evil', 'Juvenile literature', 'Juvenile works', 'Death', 'Fiction', 'Wizards', 'New York Times bestseller', 'nyt:series_books=2006-09-16', 'Schools', 'Magic', 'Magia', 'Ficción juvenil', 'Novela fantástica', 'Magos', 'Escuelas', 'Juvenile fiction', 'dark magic', 'Coming of age', 'heroics', 'fantasy', 'action', 'adventure', 'orphans', 'foster homes', 'young adult', 'children', ""children's literature"", 'boarding school', 'wizardry', 'mystery', 'kids', 'witchcraft', 'war', 'Magie', 'Magiciens', 'Roman pour la jeunesse', 'Mort', 'Sorcellerie', 'Romans, nouvelles, etc. pour la jeunesse', 'Internats', 'Fantasy fiction', 'Roman fantastique', 'Ecoles', 'Boarding schools', 'Sorciers', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place) -- Juvenile fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Potter, Harry (Fictitious character) -- Juvenile fiction', 'Wizards -- Fiction', 'Magic -- Fiction', 'Schools -- Fiction', 'Magos -- Ficción juvenil', 'Magia -- Ficción juvenil', 'Escuelas -- Ficción juvenil', 'England -- Fiction', 'Inglaterra -- Ficción juvenil', 'Hermione Granger (Fictitious character)', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Ron Weasley (Fictitious character)', 'School stories', 'Family', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy & Magic', 'Fictional Works', 'Bildungsromans', 'Witches', 'Friendship', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Potter, harry (fictitious character), fiction', 'Wizards, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'England, fiction', 'Schools, fiction', 'Magic, fiction', ""Children's fiction"", 'English literature', 'Fiction, fantasy, general', 'Méchanceté', 'Quête (Littérature)', 'Potter, Harry (Personnage fictif)', 'Large type books', 'New York Times reviewed', 'Poudlard (Organisation imaginaire)', 'Écoles', 'Illusion (performing art)', 'Schools (institutions)', 'Schools (buildings)', 'Child and youth fiction']",4.28,309
