Title,Author,Description,Genres,Rating,Rating-count
The cruel prince,Holly Black,"Jude was seven years old when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King. To win a place at the Court, she must defy him, and face the consequences.Read more","['Fairies--Fiction.', 'Sisters--Fiction.', 'Orphans--Fiction.', 'Princes--Fiction.', 'Courts and courtiers--Fiction.', 'Fantasy', 'Princes', 'Courts and courtiers', 'Orphans', 'Fairies', 'Fiction', 'Sisters', 'Juvenile fiction', 'Sisters, fiction', 'Fairies, fiction', 'Orphans, fiction', 'Princes, fiction', 'Courts and courtiers, fiction', 'Fantasy fiction', ""Children's fiction"", 'nyt:young-adult-hardcover=2018-01-21', 'New York Times bestseller', 'Fiction, romance, paranormal, general', 'Young Adult Fiction', 'Romance', 'Fiction, fantasy, general']",3.98,90
De Hobbit,J.R.R. Tolkien,"The Hobbit is a tale of high adventure, undertaken by a company of dwarves in search of dragon-guarded gold. A reluctant partner in this perilous quest is Bilbo Baggins, a comfort-loving unambitious hobbit, who surprises even himself by his resourcefulness and skill as a burglar.Encounters with trolls, goblins, dwarves, elves, and giant spiders, conversations with the dragon, Smaug, and a rather unwilling presence at the Battle of Five Armies are just some of the adventures that befall Bilbo.Bilbo Baggins has taken his place among the ranks of the immortals of children’s fiction. Written by Professor Tolkien for his children, The Hobbit met with instant critical acclaim when published.Read more","['Arkenstone', 'Battle of Five Armies', 'invisibility', 'thrushes', 'eagles', 'hobbits', 'wizards', 'dragons', 'dwarves', 'elves', 'men', 'trolls', 'goblins', 'giant spiders', 'the one ring', 'juvenile fantasy', 'YOUNG ADULT FICTION', 'Fantasy fiction', 'Juvenile fiction', 'Fiction', 'Fantasy', 'Classics', 'General', 'Media Tie-In', ""children's books"", 'juvenile works', 'Teen & Young Adult literature', 'English Fantasy fiction', 'Specimens', 'Juvenile Fantasy fiction', 'Toy and movable books', 'Magic in fiction', 'Open Library Staff Picks', 'juvenile literature', 'Pictorial works', 'Magic', 'Quests (Expeditions)', 'Graphic novels', 'Dragons in fiction', ""Children's stories"", 'Ficción fantástica inglesa', 'Fantasy in fiction', 'Translations into Russian', 'Ficción', 'Middle Earth (Imaginary place)', 'Tierra Media (Lugar imaginario)', 'Bilbo Baggins (Fictitious character)', 'Dwarfs', 'Comic books, strips', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'British and irish fiction (fictional works by one author)', 'Fiction, fantasy, general', 'Middle earth (imaginary place), fiction', 'Comics & graphic novels, fantasy', 'Science fiction, fantasy, horror', 'Child and youth fiction', 'Gollum (Fictitious character)', 'Hobbits (Fictitious characters)', 'Baggins, bilbo (fictitious character), fiction', ""Children's fiction"", 'Gandalf (fictitious character), fiction', 'Baggins, frodo (fictitious character), fiction', 'Characters', 'Characters and characteristics', 'Hobbit, an unexpected journey (Motion picture)', 'Hobbit (Tolkien, J.R.R.)', 'YOUNG ADULT FICTION / Classics', 'YOUNG ADULT FICTION / Fantasy / General', 'YOUNG ADULT FICTION / Media Tie-In', 'Motion pictures', 'Fiction, fantasy, epic', 'English literature', 'Fiction, media tie-in', 'Large type books', 'Courage', 'Literatura angielska dla młodzieży', 'Tłumaczenia polskie', 'Novela Inglesa', 'Spanish language materials', 'Untranslated', 'Terre du Milieu (Lieu imaginaire)', 'Romans, nouvelles', 'Hobbits (Personnages fictifs)', 'Novela fantástica', 'Magiciens', 'Schultheater', 'Fiction, fairy tales, folk tales, legends & mythology', 'Fiction, fantasy, dragons & mythical creatures']",4.27,366
"Red, White & Royal Blue",Casey McQuiston,"What happens when America's First Son falls in love with the Prince of Wales?When his mother became President of the United States, Alex Claremont-Diaz was promptly cast as the American equivalent of a young royal. Handsome, charismatic, genius--his image is pure millennial-marketing gold for the White House. There's only one problem: Alex has a beef with an actual prince, Henry, across the pond. And when the tabloids get hold of a photo involving an Alex/Henry altercation, U.S./British relations take a turn for the worse.Heads of family and state and other handlers devise a plan for damage control: Stage a truce between the two rivals. What at first begins as a fake, Instagrammable friendship grows deeper, and more dangerous, than either Alex or Henry could have imagined. Soon Alex finds himself hurtling into a secret romance with a surprisingly unstuffy Henry that could derail the presidential campaign and upend two nations. It raises the question: Can love save the world after all? Where do we find the courage, and the power, to be the people we are meant to be? And how can we learn to let our true colors shine through?This description comes from the publisher.Read more","['Fiction, gay', 'Fiction, romance, contemporary', 'Fiction, humorous', 'Gay men, fiction', 'Presidents, united states, fiction', 'nyt:trade-fiction-paperback=2019-06-02', 'New York Times bestseller', 'fiction', 'humor', 'romance', 'LGBTQ romance']",4.14,91
Haunting Adeline,H. D. Carlton,"The ManipulatorI can manipulate the emotions of anyone who lets me.I will make you hurt, make you cry, make you laugh and sigh.But my words don't affect him. Especially not when I plead for him to leave.He's always there, watching and waiting.And I can never look away.Not when I want him to come closer.The ShadowI didn't mean to fall in love.But now that I have, I can't stay away.I'm mesmerized by her smile, by her eyes, and the way she moves.The way she undresses...I'll keep watching and waiting. Until I can make her mine.And once she is, I'll never let her go.Not even when she begs me to.Read more","['collectionID:YDarkromance', 'Fiction, romance, general', 'Fiction, thrillers, suspense', 'Young adult fiction, romance, general', 'Young adult fiction, fantasy, dark fantasy']",3.66,62
Harry Potter et la Coupe de Feu,J. K. Rowling,"The fourth book in the Harry Potter franchise sees Harry returning for his fourth year at Hogwarts School of Witchcraft and Wizardry, along with his friends, Ron and Hermione . There is an upcoming tournament between the three major schools of magic, with one participant selected from each school by the Goblet of Fire. When Harry's name is drawn, even though he is not eligible and is a fourth player, he must compete in the dangerous contest.   Contains:Harry Potter and the Goblet of Fire. 2/4Read more","['orphans', 'foster homes', 'Waisenkind', 'Intrige', 'Wiederbelebung', 'Bewährung', 'Wettkampf', 'Junge', 'Sport', 'Rettung', 'Jugendbuch', 'Mord', 'magier', 'fictitious schools', 'juvenile works', 'juvenile audience', 'juvenile literature', ""children's stories"", 'Fiction', 'Hugo Award Winner', 'Wizards', 'New York Times bestseller', 'nyt:series_books=2006-09-16', 'Schools', 'award:hugo_award=novel', 'School', 'Magic', 'Open Library Staff Picks', 'Sorcellerie', 'Écoles', 'award:hugo_award=2001', 'Sorciers', 'Romans nouvelles etc. pour la jeunesse', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Hermione Granger (Fictitious character)', 'Juvenile fiction', 'Ron Weasley (Fictitious character)', 'Harry Potter (Fictitious character)', 'Magia', 'Magos', 'Ficción juvenil', 'Escuelas', 'Ficción', 'Translations from English', 'Magi', 'Chinese fiction', 'Family', 'Fantasy fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy & Magic', 'Friendship', 'Hugo Award', 'School stories', 'Harry Potter (Fictional character)', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Large type books', 'Potter, harry (fictitious character), fiction', ""Children's fiction"", 'England, fiction', 'Schools, fiction', 'Wizards, fiction', 'Magic, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'English literature', 'Potter, harry (fictitious character)', 'Fantasy', 'Juvenile films', 'Drama', 'Películas cinematográficas juveniles', 'Film adaptations', 'Hechiceros', 'Potter, Harry (Personaje literario)', 'Novela juvenil', 'Inglaterra', 'Novelas inglesas', ""Children's stories, English"", 'Adventure and adventurers, fiction', 'Action & Adventure', 'Friendship, fiction', 'Poudlard (Organisation imaginaire)', 'Romans, nouvelles, etc. pour la jeunesse', 'French language', 'Reading materials', 'Korean language materials']",4.40,174
November 9,Colleen Hoover,"""Beloved #1 New York Times bestselling author Colleen Hoover returns with an unforgettable love story between a writer and his unexpected muse.Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move. Their untimely attraction leads them to spend Fallon's last day in L.A. together, and her eventful life becomes the creative inspiration Ben has always sought for his novel. Over time and amidst the various relationships and tribulations of their own separate lives, they continue to meet on the same date every year. Until one day Fallon becomes unsure if Ben has been telling her the truth or fabricating a perfect reality for the sake of the ultimate plot twist. Can Ben's relationship with Fallon and simultaneously his novel be considered a love story if it ends in heartbreak?""--Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move. They spend Fallon's last day in L.A. together, and her eventful life becomes the creative inspiration Ben has always sought for his novel. Amidst the various relationships and tribulations of their own separate lives they continue to meet on the same date every year. But has Ben has been telling her the truth... or fabricating a perfect reality for the sake of the ultimate plot twist?Read more","['Long-distance relationships', 'Novelists', 'Fiction', 'Fiction, romance, contemporary', 'New York Times Bestseller']",4.36,64
Nos étoiles contraires,John Green,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.   (source)Read more","['Young Adult Fiction', 'Cancer—Fiction', 'Terminally ill—Fiction', 'Love—Fiction', 'Cancer', 'Fiction', 'Terminally ill', 'Love', ""Children's fiction"", 'Cancer, fiction', 'Love, fiction', 'Cancer in adolescence', 'Terminally ill children', 'Young women', 'Conduct of life', 'Friendship', 'Sick', 'Physicians', 'Youth', 'Death', 'Cancéreux', 'Romans, nouvelles, etc. pour la jeunesse', 'Enfants malades en phase terminale', ""Histoires d'amour"", 'Roman pour la jeunesse', ""Chez l'enfant"", 'Self-help groups', 'Man-woman relationships', 'Teenage girls', 'Spanish language materials', 'Relaciones humanas', 'Interpersonal relations', 'Ficción juvenil', 'Cancer in children', 'Niños moribundos', 'Niños', 'Cáncer', 'Relaciones hombre-mujer', 'Juvenile fiction', 'Ficción', 'Patients', ""Cancer chez l'adolescent"", 'Malades en phase terminale', 'Amour', 'Jeunes femmes', 'Morale pratique', 'Amitié', 'Médecins', 'Jeunesse', 'Mort', 'Love stories']",4.30,135
Fahrenheit 451,Ray Bradbury,"Fahrenheit 451 is a 1953 dystopian novel by American writer Ray Bradbury. Often regarded as one of his best works, the novel presents a future American society where books are outlawed and ""firemen"" burn any that are found. The book's tagline explains the title as ""'the temperature at which book paper catches fire, and burns"": the autoignition temperature of paper. The lead character, Guy Montag, is a fireman who becomes disillusioned with his role of censoring literature and destroying knowledge, eventually quitting his job and committing himself to the preservation of literary and cultural writings.The novel has been the subject of interpretations focusing on the historical role of book burning in suppressing dissenting ideas for change. In a 1956 radio interview, Bradbury said that he wrote Fahrenheit 451 because of his concerns at the time (during the McCarthy era) about the threat of book burning in the United States. In later years, he described the book as a commentary on how mass media reduces interest in reading literature.In 1954, Fahrenheit 451 won the American Academy of Arts and Letters Award in Literature and the Commonwealth Club of California Gold Medal. It later won the Prometheus ""Hall of Fame"" Award in 1984 and a ""Retro"" Hugo Award, one of a limited number of Best Novel Retro Hugos ever given, in 2004. Bradbury was honored with a Spoken Word Grammy nomination for his 1976 audiobook version.   Also contained in:451° по Фаренгейту: Рассказы451° по Фаренгейту: повести и рассказыWorksRead more","['Mechanical Hound', 'girl next door', 'Long Now Manual for Civilization', 'Terrorismo estatal', 'Censura', 'Novela', 'Totalitarismo', 'science fiction', 'political fiction', 'satire', 'Zukunft', 'State-sponsored terrorism', 'Totalitarianism', 'Book burning', 'Censorship', 'Fiction', 'American Science fiction', 'Fictional Works', 'Terrorism', 'Reading Level-Grade 7', 'Reading Level-Grade 9', 'Reading Level-Grade 8', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Fiction, dystopian', 'Fiction, science fiction, general', 'Fiction, political', 'Drama', 'Large type books', 'American literature', 'award:retro_hugo', 'Terrorismo', 'Totalitarianisms', 'Bücherverbrennung', ""Terrorisme d'État"", 'Romans, nouvelles', 'Totalitarisme', 'Autodafé de livres', 'Zhang pian xiao shuo', 'Education', 'Language arts', 'Fiction, horror']",3.98,319
De animales a dioses : breve historia de la humanidad. - 1. ed.,Yuval Noah Harari,"El libro de no ficción del año. Bestseller internacional con más de diez millones de ejemplares vendidos. Número 1 en la lista de The New York Times. Recomendado por Barack Obama, Bill Gates y Mark Zuckerberg. De la mano de uno de los historiadores más interesantes de la actualidad, he aquí la fascinante interpretación de Yuval Noah Harari sobre la historia de la humanidad. Bestseller nacional e internacional, este libro explora las formas en que la biología y la historia nos han definido y han mejorado nuestra comprensión de lo que significa ser «humano». Hace 70.000 años al menos seis especies de humanos habitaban la Tierra. Hoy solo queda una, la nuestra: Homo Sapiens. ¿Cómo logró nuestra especie imponerse en la lucha por la existencia? ¿Por qué nuestros ancestros recolectores se unieron para crear ciudades y reinos? ¿Cómo llegamos a creer en dioses, en naciones o en los derechos humanos; a confiar en el dinero, en los libros o en las leyes? ¿Cómo acabamos sometidos a la burocracia, a los horarios y al consumismo? ¿Y cómo será el mundo en los milenios venideros? En Sapiens, Yuval Noah Harari traza una breve historia de la humanidad, desde los primeros humanos que caminaron sobre la Tierra hasta los radicales y a veces devastadores avances de las tres grandes revoluciones que nuestra especie ha protagonizado: la cognitiva, la agrícola y la científica. A partir de hallazgos de disciplinas tan diversas como la biología, la antropología o la economía, Harari explora cómo las grandes corrientes de la historia han modelado nuestra sociedad, los animales y las plantas que nos rodean e incluso nuestras personalidades. ¿Hemos ganado en felicidad a medida que ha avanzado la historia? ¿Seremos capaces de liberar alguna vez nuestra conducta de la herencia del pasado? ¿Podemos hacer algo para influir en los siglos futuros? Audaz, ambicioso y provocador, este libro cuestiona todo lo que creíamos saber sobre el ser humano: nuestros orígenes, nuestras ideas, nuestras acciones, nuestro poder... y nuestro futuro. Reseñas:«El libro definitivo para entender quiénes somos. Provocador, lúcido, aporta un original enfoque sobre la esencia del ser humano.»Julia Navarro «Interesante y provocador. Este libro nos da cierta perspectiva del poco tiempo que llevamos en la Tierra, de la corta vida de la ciencia y la agricultura, y de por qué no debemos dar nada por sentado.»Barack Obama «Recomendaría este libro a cualquier persona interesada en una historia de la humanidad a la vez entretenida y desafiante [...] No se puede dejar de leer.»Bill Gates «Aborda las cuestiones más importantes de la historia y del mundo moderno y, además, está escrito con un estilo vívido e inolvidable.»Jared Diamond, premio Pulitzer y autor de Armas, gérmenes y acero «Un libro que invita a la reflexión.»Mark Zuckerberg «Un repaso absorbente de la peripecia humana, escrito con rigor e irreverencia ilustrada.»Antonio Muñoz Molina, El País «Un libro fascinante, como nuestra especie. Nos ayudará a saber de dónde venimos para decidir hacia dónde vamos. Recomiendo Sapiens casi antes que saludar. ¡Disfrútenlo!»Leonor Watling «Monumental, brillante, provocadora.»Pablo Jáuregui, El Mundo «Cuenta la historia del ser humano desde su origen hasta que se convirtió en el rey de la creación.»Iñaki Gabilondo «Me fascina la forma de pensar de este tipo.»Risto Mejide «El aclamado Sapiens de Yuval Noah Harari hace para la evolución humana lo que Brevísima historia del tiempo, de Hawking, hizo para la física [...], un excelente trabajo que perfila nuestra lenta emergencia y eventual dominación del planeta.»Forbes «Por fin alguien ha escrito un libro como este.»Sebastian JungerRead more","['Cronología histórica', 'Technology and civilization', 'Tecnología y civilización', 'Human beings', 'Historical Chronology', 'Historia universal', 'Historia', 'Civilization', 'Hombre', 'World history', 'History', 'Non-Fiction', 'Science', 'SCIENCE / Life Sciences / General', 'SCIENCE / General', 'SCIENCE / Life Sciences / Evolution', 'Weltgeschichte', 'Civilization, history', 'Chronology, historical', 'Chronologie historique', 'Technologie et civilisation', 'Histoire universelle', 'Histoire', 'Humans', 'Civilisation', 'Homme', 'nyt:combined-print-and-e-book-nonfiction=2015-03-01', 'New York Times bestseller', 'Life Sciences', 'Evolution', 'General', 'Menschheit', 'Humanité', 'Människan', 'Fysisk antropologi', 'Human', 'Sapiens', 'nyt:paperback-nonfiction=2018-06-03', 'Comics & graphic novels, adaptations', 'Zivilisation', 'Society', 'Psychology', 'Economic history', 'Cognition and culture']",4.30,107
"Rollercoasters Wonder Reader [Paperback] Palacio, R.J",R. J. Palacio,"Wonder is a children's novel written by R. J. Palacio,[2] published on 14 February 2012.R. J. Palacio wrote Wonder after an incident where her son noticed a girl with a severe facial difference and started to cry. Fearing he would react badly, Palacio attempted to remove her son from the situation so as not to upset the girl and her family but ended up worsening the situation. Natalie Merchant's song of the same name made her realize that the incident could illustrate a valuable lesson. Palacio was inspired by Merchant's lyrics and she began writing. She named the book directly after the song and used the song's chorus as the prologue of the first chapter.Read more","['health', 'daily living', 'mainstreaming', 'Craniofacial Abnormalities', 'young adult fiction', 'Mark Twain Award', 'Special Needs', 'Fiction - Social Themes - Special Needs', 'Diseases Illnesses & Injuries', 'Fiction - Health & Daily Living - Diseases Illnesses & Injuries', 'Fiction - School & Education', 'Self-acceptance', 'Human Abnormalities', 'Middle schools', 'New York Times bestseller', 'nyt:chapter_books=2012-02-25', 'Juvenile fiction', 'face abnormalities', 'personal beauty', 'body image', 'Spanish language materials', 'Escuelas', 'Padres e hijos', 'Aprobación de sí mismo', 'Divorcio', 'Deformidades', 'Ficción juvenil', 'Hermanos y hermanas', 'Psychology', 'Health & Daily Living', 'Divorce', 'School & Education', 'Disabled Children', 'Fiction', 'Private schools', 'Birth defects', 'Family Relations', 'Brothers and sisters', 'Parent and child', 'Students', 'Social Themes', 'Mainstreaming (Education)', 'Diseases, Illnesses & Injuries', 'Children with disabilities', 'Multiple Abnormalities', 'Schools', ""Children's fiction"", 'Self-acceptance, fiction', 'Schools, fiction', 'People with disabilities, fiction', 'Education Mainstreaming', 'Large type books', 'JUVENILE FICTION / Social Issues / Self-Esteem & Self-Reliance', 'Teasing', ""Children's audiobooks"", 'Imagination', 'JUVENILE FICTION / Health & Daily Living / Diseases', 'JUVENILE FICTION / School & Education', 'JUVENILE FICTION / Health & Daily Living / Daily Activities', 'New York Times reviewed', 'American fiction']",4.34,194
Where the crawdads sing,Delia Owens,"""For years, rumors of the ""Marsh Girl"" have haunted Barkley Cove, a quiet town on the North Carolina coast. She's barefoot and wild; unfit for polite society. So in late 1969, when handsome Chase Andrews is found dead, the locals immediately suspect Kya Clark. But Kya is not what they say. Abandoned at age ten, she has survived on her own in the marsh that she calls home. A born naturalist with just one day of school, she takes life lessons from the land, learning from the false signals of fireflies the real way of this world. But while she could have lived in solitude forever, the time comes when she yearns to be touched and loved. Drawn to two young men from town, who are each intrigued by her wild beauty, Kya opens herself to a new and startling world--until the unthinkable happens. In Where the Crawdads Sing, Owens juxtaposes an exquisite ode to the natural world against a heartbreaking coming of age story and a surprising murder investigation.""--Read more","['Solitude', 'Fiction', 'Fiction, coming of age', 'Fiction, mystery & detective, historical', 'North carolina, fiction', 'nyt:hardcover-fiction=2018-09-23', 'New York Times bestseller', 'Abandoned children', 'Man-woman relationships', 'Investigation', 'Young women', 'Murder', 'nyt:combined-print-and-e-book-fiction=2018-09-30', 'nyt:trade-fiction-paperback=2021-04-18', 'Women hermits', 'FICTION / Literary', 'FICTION / Coming of Age', 'FICTION / Contemporary Women', 'Coming of age', 'collectionid:nyt2020s']",4.38,68
The Lightning Thief,Rick Riordan,"Twelve-year-old Percy Jackson is on the most dangerous quest of his life.  With the help of a satyr and a daughter of Athena, Percy must journey across the United States to catch a thief who has stolen the original weapon of mass destruction—Zeus’ master bolt.  Along the way, he must face a host of mythological enemies determined to stop him.  Most of all, he must come to terms with a father he has never known, and an Oracle that has warned him of betrayal by a friend.Read more","['Fiction', 'Greek Mythology', 'Zeus (Greek deity)', 'Juvenile fiction', 'Fathers and sons', 'Hades (Greek deity)', 'Poseidon (Greek deity)', 'Camps', 'Friendship', 'Fantasy fiction', 'Fantasy', 'Young Adult Fiction', 'New York Times bestseller', 'nyt:series_books=2007-07-21', 'Mythology, Greek', 'Juvenile fiction..', 'Identity (Philosophical concept)', 'Identity', 'Adaptations', 'Greek Gods', 'Comic books, strips', 'Cartoons and comics', ""Children's fiction"", 'Camps, fiction', 'Friendship, fiction', 'Fathers and sons, fiction', 'Gods, fiction', 'Large type books', 'mirror', 'pdf.yt', 'Graphic novels', 'Action & Adventure', 'Fantasy & Magic', 'Legends, Myths, Fables', 'Voyages and travels', 'Father-son relationship', 'Gods and goddesses', 'Literature and fiction, juvenile', ""Children's Books -- Literature -- Action & Adventure"", ""Children's Books -- Literature -- Fairy Tales, Folk Tales & Myths -- Greek & Roman"", ""Children's Books -- Literature -- Popular Culture"", ""Children's Books -- Literature -- Science Fiction, Fantasy, Mystery & Horror -- Science Fiction, Fantasy, & Magic"", 'Literature & Fiction -- World Literature -- Mythology', 'Child and youth fiction', 'Science fiction, fantasy, horror', 'New York Times reviewed', 'Mythologie grecque', 'Romans, nouvelles, etc. pour la jeunesse', 'Colonies de vacances', 'Amitié', 'Pères et fils']",4.37,194
Control Your Mind and Master Your Feelings,Eric Robertson - undifferentiated,                  This edition doesn't have a description yet. Can you add one?              ,[],3.56,66
The Summer I Turned Pretty,Jenny Han,"Belly’s never been the kind of girl that things happen to. Year after year, she’s spent her summers at the beach house with Conrad and Jeremiah. The boys never noticed Belly noticing them. And every summer she hoped it would be different. This time, it was. But the summer Belly turned pretty was the summer that changed everything. For better, and for worse.Read more","['Beaches', 'Coming of age', 'Fiction', 'Friendship', 'Interpersonal relations', 'Summer', 'Vacation homes', 'Teenage girls', 'Teenage boy/girl', 'Juvenile fiction', 'Realistic fiction', 'Sixteen-year-old girls', 'Bildungsromans', ""Children's fiction"", 'Interpersonal relations, fiction', 'Seashore, fiction', 'Summer, fiction', 'Friendship, fiction', 'Vacations, fiction']",4.44,79
Animal Farm,George Orwell,Full text available online at Animal Farm.Read more,"['British and irish fiction (fictional works by one author)', 'political satire', 'classic', 'animal drama', 'Fiction, political', 'English literature: literary criticism', 'For National Curriculum Key Stage 4 & GCSE', 'Fiction, satire', 'English literature', 'Comics & graphic novels, literary', 'Comics & graphic novels, adaptations', 'Fiction', 'Literature', 'Drama (dramatic works by one author)', 'Animals, fiction', 'Behavior, fiction', 'Totalitarianism', 'Domestic animals', 'Large type books', 'English Political satire', 'Animales domésticos', 'Animals in literature', ""Children's fiction"", 'Animals', 'Power (Social sciences)', 'Fiction, science fiction, general', 'Orwell, george, 1903-1950', 'Farms', 'Livestock', 'Political corruption', 'Englischunterricht', 'Fiction, general', 'Political science', 'Fables', 'Satire', 'Political fiction', 'Politique-fiction', 'Animaux domestiques', 'Romans, nouvelles', 'Totalitarisme', 'Fiction, short stories (single author)', 'In literature', 'Allegories']",4.06,391
The Alchemist,Paulo Coelho,"Read This Book For Free Now👉 https://t.co/NYg83FnWrsThe Alchemist details the journey of a young Andalusian shepherd boy named Santiago. Santiago, believing a recurring dream to be prophetic, decides to travel to the pyramids of Egypt to find treasure. On the way, he encounters love, danger, opportunity and disaster. One of the significant characters that he meets is an old king named Melchizedek who tells him that ""When you want something, all the universe conspires in helping you to achieve it."" This is the core philosophy and motif of the book.Read more","['Translations into Indonesian', 'Voyages and travels', 'Fiction', 'Portuguese Fiction', 'Self-realization', 'Alchemists', 'Young men', 'Shepherds', 'New York Times bestseller', 'nyt:trade_fiction_paperback=2008-01-05', 'nyt:trade_fiction_paperback=2007-12-02', 'Fiction, visionary & metaphysical', 'Spain, fiction', 'FICTION / Literary', 'BODY, MIND & SPIRIT / Spirituality / General', 'BODY, MIND & SPIRIT / Inspiration & Personal Growth', 'Fables', 'Translations from English', 'Thai fiction', 'French language', 'Reading materials', 'Russian language edition', 'Powieść brazylijska', 'Tłumaczenia polskie', 'Comics & graphic novels, general', 'Mexican literature', 'Alquimia', 'Novela', 'Pastores', 'Andalucía (España)', 'Alquimistas', 'Large type books', 'Fiction, fantasy, general', 'Alchemy', 'Quests (Expeditions)', 'Literary', 'BODY, MIND & SPIRIT', 'Spirituality', 'General', 'Inspiration & Personal Growth', 'Expeditions', 'Parodies, imitations', 'Comic books, strips', 'Graphic novels']",3.66,171
"Thinking, fast and slow",Daniel Kahneman,"""The guru to the gurus at last shares his knowledge with the rest of us. Nobel laureate Daniel Kahneman's seminal studies in behavioral psychology, behavioral economics, and happiness studies have influenced numerous other authors, including Steven Pinker and Malcolm Gladwell. In Thinking, Fast and Slow, Kahneman at last offers his own, first book for the general public. It is a lucid and enlightening summary of his life's work. It will change the way you think about thinking. Two systems drive the way we think and make choices, Kahneman explains: System One is fast, intuitive, and emotional; System Two is slower, more deliberative, and more logical. Examining how both systems function within the mind, Kahneman exposes the extraordinary capabilities as well as the biases of fast thinking and the pervasive influence of intuitive impressions on our thoughts and our choices. Engaging the reader in a lively conversation about how we think, he shows where we can trust our intuitions and how we can tap into the benefits of slow thinking, contrasting the two-system view of the mind with the standard model of the rational economic agent. Kahneman's singularly influential work has transformed cognitive psychology and launched the new fields of behavioral economics and happiness studies. In this path-breaking book, Kahneman shows how the mind works, and offers practical and enlightening insights into how choices are made in both our business and personal lives--and how we can guard against the mental glitches that often get us into trouble.""--Publisher.Read more","['Intuition', 'Thought and thinking', 'Reasoning', 'Decision making', 'New York Times bestseller', 'Long Now Manual for Civilization', 'Thinking', 'Kognition', '77.32 intelligence, creativity', 'New York Times reviewed', 'Reason', 'Cognition', 'Self-actualization (Psychology)', 'Cognitive psychology', 'Psychology']",4.17,128
"Heartstopper, Volume 1",Alice Oseman,"Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Their friendship blooms quickly, but could there be something more...?Read more","['Young adult fiction, comics & graphic novels, lgbt', 'Young adult fiction, comics & graphic novels, lgbtq+', 'High schools', 'Comic books, strips', 'Boys', 'Gays', 'Love in adolescence', 'Friendship', 'Mental illness', 'nyt:graphic-books-and-manga=2022-05-08', 'New York Times bestseller']",4.37,113
The song of Achilles,Madeline Miller,This is the story of the seige of Troy from the perspective of Achilles best-friend Patroclus.  Although Patroclus is outcast from his home for disappointing his father he manages to be the only mortal who can keep up with the half-God Archilles.  Even though many will know the facts behind the story the telling is fresh and engaging.Read more,"['Trojan War', 'Achilles (Greek mythology)', 'Male friendship', 'Fiction', 'Gay love', 'Thetis', 'Greeks', 'History', 'Trojan War. fast (OCoLC)fst01157294', 'Friendship, fiction', 'Fiction, historical', 'Fiction, war & military', 'LGBTQ historical fiction', 'Stonewall Book Awards', 'nyt:trade-fiction-paperback=2020-08-30', 'New York Times bestseller', 'New York Times reviewed', 'Fiction, historical, general', 'Amitié masculine', 'Romans, nouvelles', 'Guerre de Troie', 'Gay fiction']",4.34,95
